id,name,class,address,latitude,longitude
331,湖井頭戰史館,國家公園,金門縣烈嶼鄉西口村19鄰湖井頭2之2號,118.230915,24.446362
333,蔣經國先生紀念館,國家公園,金門縣金湖鎮新市里11鄰中正路1號,118.416647,24.440166
334,金水學校,國家公園,金門縣金城鎮金水里5鄰前水頭47號,118.297977,24.40932
335,雙鯉溼地自然中心,國家公園,金門縣金城鎮金水里2鄰前水頭1號,118.301238,24.409092
338,總兵署,其他,金門縣金城鎮東門里23鄰莒光路1號,118.318445,24.431526
339,莒光樓,博物館,金門縣金城鎮東門里23鄰莒光路1號,118.318445,24.431526
340,劍湖山世界,其他,雲林縣古坑鄉永光村16鄰大湖口67號,120.579616,23.615831
341,北港朝天宮,宗教場所,雲林縣北港鎮光民里1鄰中山路178號,120.304503,23.56804
342,北港武德宮北港武德宮管理委員會,宗教場所,雲林縣北港鎮新街里25鄰華勝路330號,120.299672,23.581273
344,草嶺,其他,雲林縣古坑鄉草嶺村11鄰草嶺1號,120.72563,23.582668
345,寶來、不老溫泉區,國家級風景特定區,高雄市六龜區寶來里5鄰寶來二巷36之30號,120.70209,23.105079
346,梅山遊客中心,國家公園,高雄市桃源區梅山里3鄰梅山巷44之5號,120.826145,23.263269
347,茂林遊憩區,國家級風景特定區,高雄市茂林區茂林里1鄰茂林巷7之7號,120.663681,22.885898
348,佛光山,宗教場所,高雄市大樹區興田里12鄰興田路153號,120.44628,22.747267
350,國立科學工藝博物館,博物館,高雄市三民區安發里17鄰九如一路720號,120.32285,22.640193
351,壽山動物園,其他,高雄市鼓山區光化里15鄰萬壽路350號,120.277874,22.637443
352,壽山園區,國家公園,高雄市鼓山區山下里8鄰萬壽路90號,120.278755,22.629038
354,旗山老街,其他,高雄市旗山區大德里7鄰中山路1號,120.481914,22.884629
355,旗後山園區,國家公園,高雄市旗津區北汕里15鄰旗津三路1號,120.279244,22.596702
356,旗津風景區,其他,高雄市旗津區北汕里15鄰旗津三路1號,120.279244,22.596702
357,澄清湖,其他,高雄市鳥松區鳥松里15鄰大埤路32號,120.35484,22.652025
358,瑞豐商圈,其他,高雄市左營區新上里13鄰裕誠路144號,120.311746,22.664186
359,義大世界,其他,高雄市大樹區三和里11鄰學城路一段10號,120.407349,22.730611
360,蓮池潭,其他,高雄市左營區埤東里2鄰蓮潭路1號,120.291478,22.680326
361,蚵仔寮漁港,其他,高雄市梓官區信蚵里14鄰漁港二路32號,120.255958,22.726437
362,衛武營國家藝術文化中心,其他,高雄市鳳山區新強里15鄰三多一路1號,120.342434,22.624169
363,金獅湖風景區,其他,高雄市三民區鼎西里1鄰金鼎路114巷10之3號,120.328092,22.663436
364,駁二藝術特區,其他,高雄市鹽埕區新化里8鄰大勇路1號,120.281644,22.619941
365,高雄市文化中心,其他,高雄市苓雅區中正里1鄰五福一路67號,120.317016,22.628247
366,高雄市立歷史博物館,博物館,高雄市鹽埕區府北里19鄰中正四路272號,120.286737,22.626671
367,高雄市立美術館,博物館,高雄市鼓山區龍水里6鄰美術館路80號,120.286269,22.656219
